It took 1.1185 seconds to compute the Mandelbrot set
It took 0.2712 seconds to dump the image to a file
         1255714 function calls (1235126 primitive calls) in 1.924 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       54    0.002    0.000    0.002    0.000 lines.py:758(draw)
       64    0.000    0.000    0.002    0.000 util.py:360(replaced_by_pep8)
     2703    0.001    0.000    0.002    0.000 cbook.py:468(_strip_comment)
     2754    0.001    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
        1    0.001    0.001    0.002    0.002 image.py:219(_rgb_to_rgba)
      619    0.001    0.000    0.002    0.000 font_manager.py:989(_json_decode)
        1    0.000    0.000    0.002    0.002 units.py:1(<module>)
     78/4    0.000    0.000    0.002    0.000 core.py:977(_parseCache)
   133/64    0.000    0.000    0.002    0.000 core.py:3976(copy)
        8    0.000    0.000    0.002    0.000 axis.py:946(set_tick_params)
        1    0.000    0.000    0.002    0.002 _npyio_impl.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _backend_tk.py:194(__init__)
        2    0.000    0.000    0.002    0.001 axis.py:1115(set_clip_path)
       22    0.000    0.000    0.002    0.000 core.py:5066(parseImpl)
        1    0.000    0.000    0.002    0.002 dates.py:1(<module>)
     4739    0.001    0.000    0.002    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.002    0.002 _tricontour.py:1(<module>)
     1583    0.001    0.000    0.002    0.000 typing.py:1368(__setattr__)
        1    0.000    0.000    0.002    0.002 einsumfunc.py:1(<module>)
        1    0.000    0.000    0.002    0.002 decoder.py:1(<module>)
      356    0.001    0.000    0.002    0.000 inspect.py:811(_finddoc)
       24    0.001    0.000    0.002    0.000 util.py:208(_collapse_string_to_ranges)
        2    0.000    0.000    0.002    0.001 __init__.py:12(__getattr__)
      261    0.000    0.000    0.002    0.000 rcsetup.py:304(validate_color_for_prop_cycle)
        1    0.000    0.000    0.002    0.002 spines.py:1(<module>)
      509    0.001    0.000    0.002    0.000 _inspect.py:97(getargspec)
        1    0.000    0.000    0.002    0.002 decimal.py:1(<module>)
        7    0.000    0.000    0.002    0.000 core.py:2827(__init__)
        2    0.000    0.000    0.002    0.001 _base.py:3318(grid)
       12    0.000    0.000    0.002    0.000 ticker.py:2228(__call__)
        4    0.000    0.000    0.002    0.000 axis.py:1696(grid)
       30    0.000    0.000    0.002    0.000 typing.py:1762(copy_with)
       35    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1675(_fill_cache)
     5202    0.001    0.000    0.002    0.000 _parser.py:260(get)
        1    0.000    0.000    0.002    0.002 random.py:1(<module>)
        1    0.000    0.000    0.002    0.002 cbook.py:1(<module>)
    38/18    0.000    0.000    0.002    0.000 core.py:4645(parseImpl)
       19    0.000    0.000    0.002    0.000 rcsetup.py:677(cycler)
     6446    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
 1868/296    0.000    0.000    0.002    0.000 <frozen abc>:121(__subclasscheck__)
        1    0.000    0.000    0.002    0.002 bz2.py:1(<module>)
       12    0.000    0.000    0.002    0.000 ticker.py:2232(tick_values)
        7    0.000    0.000    0.002    0.000 enum.py:898(_convert_)
        1    0.000    0.000    0.002    0.002 backend_agg.py:1(<module>)
       43    0.001    0.000    0.002    0.000 {built-in method _io.open}
       85    0.002    0.000    0.002    0.000 {method 'astype' of 'numpy.ndarray' objects}
        1    0.002    0.002    0.002    0.002 {method 'take' of 'numpy.ndarray' objects}
       94    0.002    0.000    0.002    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.001    0.001 version.py:161(Version)
     2177    0.001    0.000    0.001    0.000 typing.py:1122(_is_unpacked_typevartuple)
    26/14    0.000    0.000    0.001    0.000 core.py:4375(parseImpl)
 1868/296    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
      306    0.001    0.000    0.001    0.000 results.py:153(__new__)
      557    0.001    0.000    0.001    0.000 font_manager.py:1175(score_family)
        1    0.000    0.000    0.001    0.001 numeric.py:1(<module>)
        7    0.000    0.000    0.001    0.000 enum.py:842(_create_)
      315    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
        1    0.000    0.000    0.001    0.001 rrule.py:1(<module>)
       76    0.001    0.000    0.001    0.000 typing.py:1813(__hash__)
       12    0.000    0.000    0.001    0.000 ticker.py:2159(_raw_ticks)
        1    0.000    0.000    0.001    0.001 ImageMath.py:1(<module>)
